State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.94942	0.94962	0.95460	0.95844	0.96286	0.96727	0.96919	0.97207	0.96458	0.96209	0.95365	0.94827	0.95038	0.94693	0.94846	0.94846	0.94578	0.94002	0.93580	0.93522	0.93177
2	0.54746	0.54656	0.54426	0.54366	0.54076	0.53808	0.53749	0.53719	0.54217	0.54530	0.55408	0.55958	0.56115	0.56278	0.56516	0.56799	0.57164	0.57603	0.58213	0.58399	0.58711
3	0.84970	0.84533	0.84970	0.83367	0.84825	0.84533	0.83221	0.82784	0.82201	0.80161	0.75788	0.75643	0.77974	0.79432	0.79723	0.81181	0.81764	0.82638	0.82347	0.85699	0.88322
4	4.18936	4.22841	4.25942	4.28642	4.28412	4.29503	4.28125	4.28067	4.25138	4.19683	4.08944	4.00444	3.88040	3.71845	3.55995	3.40318	3.26937	3.10742	2.97304	2.86335	2.76917
5	0.88960	0.88906	0.88853	0.88568	0.89459	0.89958	0.90920	0.90866	0.92381	0.95268	1.00080	1.02681	1.06673	1.12090	1.16528	1.20716	1.24119	1.28040	1.31141	1.34188	1.36166
6	2.37094	2.34767	2.24166	2.19512	2.20805	2.18478	2.22615	2.23132	2.10204	2.02965	1.97018	1.89778	1.83056	1.71938	1.67026	1.61596	1.59011	1.55649	1.54874	1.50737	1.47117
7	0.42763	0.42258	0.40114	0.38600	0.36960	0.34816	0.32671	0.30401	0.31157	0.32293	0.33176	0.33933	0.35194	0.37465	0.38474	0.41754	0.41249	0.43772	0.45664	0.45916	0.47052
8	3.17390	2.99665	3.06866	3.19052	3.20160	3.32346	3.24591	3.27361	3.24037	2.94680	2.75293	2.65323	2.44828	2.32088	2.32088	2.24887	2.25441	2.37073	2.39289	2.33750	2.39843
9	1.74565	1.71158	1.77171	1.79776	1.81179	1.81580	1.87392	1.92202	1.98014	1.95609	1.83183	1.85789	1.84186	1.84386	1.82582	1.74565	1.76770	1.82582	1.81179	1.76970	1.76970
10	4.17716	4.22903	4.06873	3.89429	3.70099	3.55955	3.38511	3.30496	3.13052	3.13995	3.07394	2.99851	3.02208	3.07394	3.09751	3.27667	3.30024	3.15880	3.12580	3.22009	3.24367
