State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.08985	1.06783	1.04717	1.02685	1.00077	0.96300	0.92201	0.88052	0.85342	0.84106	0.83225	0.83208	0.83902	0.85511	0.87815	0.89525	0.91879	0.93590	0.95588	0.97451	0.98908
2	0.81045	0.80566	0.79456	0.77571	0.74688	0.69697	0.64181	0.58146	0.53811	0.51835	0.51053	0.50699	0.51270	0.51670	0.52163	0.52958	0.53739	0.54619	0.54954	0.55414	0.55578
3	0.66894	0.67023	0.67280	0.67023	0.68310	0.72169	0.72555	0.74484	0.73584	0.72297	0.74999	0.79116	0.77700	0.75514	0.72426	0.69081	0.65994	0.61234	0.59304	0.54287	0.51843
4	0.55605	0.51905	0.48408	0.46380	0.43744	0.41920	0.41869	0.41058	0.40804	0.41311	0.42578	0.44454	0.46177	0.47242	0.48610	0.49269	0.49878	0.51094	0.53983	0.59306	0.64375
5	0.89924	0.88508	0.86715	0.82704	0.77167	0.69004	0.60510	0.52661	0.46338	0.43475	0.41965	0.41604	0.42296	0.43554	0.45426	0.48745	0.53385	0.57537	0.61690	0.65638	0.68925
6	0.63215	0.55456	0.51348	0.46555	0.46555	0.46099	0.49978	0.52489	0.57281	0.61161	0.66866	0.68920	0.70746	0.73028	0.70061	0.69605	0.67094	0.69377	0.78961	0.91513	1.22550
7	0.91745	0.79386	0.68920	0.59122	0.52775	0.46763	0.44425	0.43423	0.40639	0.38412	0.36186	0.35406	0.34070	0.34293	0.36520	0.39415	0.48656	0.66470	0.91411	1.24590	1.58883
8	10.27195	10.19373	9.38703	8.40433	6.54648	4.67885	2.84544	1.93607	1.68673	1.54006	1.62317	1.65251	1.88718	2.79655	6.91805	14.67701	23.08623	29.18291	32.45859	33.69553	33.11862
9	3.79097	4.32521	4.97266	5.80232	6.37017	6.92918	7.04239	6.47631	5.41137	6.41794	7.26529	3.30980	2.93654	3.11875	3.54862	4.57641	5.58297	5.78994	5.28047	4.60294	4.05632
10	4.70650	5.63865	7.23245	9.50040	14.09039	20.87341	28.92566	37.94750	45.81664	45.89987	44.73468	54.04366	53.92714	51.67584	45.74174	34.87225	22.79596	14.39000	9.71679	6.72061	4.98116
