State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	18.11968	0.46863	0.88925	1.03661	0.95374	0.83228	1.02039	1.23576
2	46.72948	0.55346	0.48688	0.75157	0.55414	0.51055	0.64232	1.34067
3	2.38552	1.83446	0.85526	0.67374	0.75796	0.75001	0.67184	1.05391
4	6.05422	0.64447	4.67525	2.21269	4.08872	0.42580	0.52900	0.33402
5	19.51025	0.47258	0.79353	0.88373	1.00090	0.41967	0.62772	0.41874
6	1.34471	0.50118	3.04555	2.29583	1.97039	0.66868	0.68141	0.21604
7	2.75623	0.25657	0.25659	2.25121	0.33179	0.36187	0.61046	0.19560
8	0.62769	0.85862	2.80491	2.27153	2.74768	1.62322	9.51128	0.21831
9	1.73477	4.86759	1.74983	1.13517	1.83203	7.26551	4.80992	0.62961
10	0.73745	51.23483	7.74234	1.57865	3.07426	44.73190	23.77142	0.26351
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
