State (Emission order)	H3k27ac	H2az	H3k09ac	H3k04me3	H3k04me2	H3k04me1	H3k79me2	H3k36me3	H3k09me3	H3k27me3
1	8.808129873823607E-5	0.01793408789763642	0.024403643346023837	3.91540025919784E-5	2.348002993132099E-4	9.679605284731558E-4	5.2737106376525325E-5	1.8680474536918293E-4	0.006619838172010896	0.32272332315333874
2	2.0016961269799725E-4	0.02085263639189838	0.015046364725014688	2.460487883104954E-5	4.2107000337078464E-5	5.988534849029208E-4	8.165313764928257E-6	1.1654618831667892E-4	0.018454452678867493	0.015602750882597088
3	0.002932600925195222	0.036401065320676336	0.012810437665959616	0.021781301306920874	3.601953934504181E-4	0.00203491521310909	0.0028576195537666597	0.05995709548625353	0.5752822364093391	0.016297762679453737
4	0.0021671133627107096	2.8847790007783955E-4	0.02255621835244957	6.06625110705837E-5	1.713082853959439E-4	0.001678055016516361	0.021703311691006654	0.6585496506343382	0.011216642661287503	3.3244196974846756E-4
5	0.0012465554807319687	9.80467940409213E-4	0.007719539775085814	8.926685899447843E-6	6.971931264080752E-19	6.585354320748258E-4	0.0028346550274277234	0.008794857419780356	0.0010979421931464272	2.6772987435522735E-4
6	0.005994511522698423	2.2990360000373775E-4	0.03339745230312998	0.004808299610588987	0.01741400753899557	0.038405679246422623	0.8014047252514857	0.8447361363225229	0.06620344243746616	1.8498125831856415E-4
7	0.0068345605054719195	1.9256163402349863E-4	0.019007250237157686	1.0728331581927972E-5	0.004799811132657486	0.03058668346487986	0.7058044712069063	0.062461477758073765	0.004623008156204112	3.8416052906208395E-4
8	0.027436844166572463	3.816510218007746E-4	0.17018585288372606	0.31767970399527784	0.7924375959304275	0.8166588742762627	0.9339307979909061	0.286883631191793	0.0021503306842188662	3.867874699335445E-4
9	0.16981452240518852	0.07416223482816678	0.06280286294985038	0.001227154094721022	0.16819898242210718	0.7102374923532694	0.007332611115749504	0.005698233071996767	0.002015761807517656	0.02757554522199039
10	0.3531644712064642	0.39523783638029264	0.731358746825193	0.9495959356682611	0.8652889947523802	0.34645429488967633	0.1961941847931429	0.013915144025744335	0.015776470330505738	0.05246563729703182
